,DATE,WILLREITIND,Index
0,1977/12/30,100,100
1,1978/1/2,100,100
2,1978/1/3,100,.
3,1978/1/4,100,.
4,1978/1/5,100,.
5,1978/1/6,100,.
6,1978/1/9,100,.
7,1978/1/10,100,.
8,1978/1/11,100,.
9,1978/1/12,100,.
10,1978/1/13,100,.
11,1978/1/16,100,.
12,1978/1/17,100,.
13,1978/1/18,100,.
14,1978/1/19,100,.
15,1978/1/20,100,.
16,1978/1/23,100,.
17,1978/1/24,100,.
18,1978/1/25,100,.
19,1978/1/26,100,.
20,1978/1/27,100,.
21,1978/1/30,100,.
22,1978/1/31,97.15,97.15
23,1978/2/1,97.15,97.15
24,1978/2/2,97.15,.
25,1978/2/3,97.15,.
26,1978/2/6,97.15,.
27,1978/2/7,97.15,.
28,1978/2/8,97.15,.
29,1978/2/9,97.15,.
30,1978/2/10,97.15,.
31,1978/2/13,97.15,.
32,1978/2/14,97.15,.
33,1978/2/15,97.15,.
34,1978/2/16,97.15,.
35,1978/2/17,97.15,.
36,1978/2/20,97.15,.
37,1978/2/21,97.15,.
38,1978/2/22,97.15,.
39,1978/2/23,97.15,.
40,1978/2/24,97.15,.
41,1978/2/27,97.15,.
42,1978/2/28,99.19,99.19
43,1978/3/1,99.19,99.19
44,1978/3/2,99.19,.
45,1978/3/3,99.19,.
46,1978/3/6,99.19,.
47,1978/3/7,99.19,.
48,1978/3/8,99.19,.
49,1978/3/9,99.19,.
50,1978/3/10,99.19,.
51,1978/3/13,99.19,.
52,1978/3/14,99.19,.
53,1978/3/15,99.19,.
54,1978/3/16,99.19,.
55,1978/3/17,99.19,.
56,1978/3/20,99.19,.
57,1978/3/21,99.19,.
58,1978/3/22,99.19,.
59,1978/3/23,99.19,.
60,1978/3/24,99.19,.
61,1978/3/27,99.19,.
62,1978/3/28,99.19,.
63,1978/3/29,99.19,.
64,1978/3/30,99.19,.
65,1978/3/31,106.9,106.9
66,1978/4/3,106.9,106.9
67,1978/4/4,106.9,.
68,1978/4/5,106.9,.
69,1978/4/6,106.9,.
70,1978/4/7,106.9,.
71,1978/4/10,106.9,.
72,1978/4/11,106.9,.
73,1978/4/12,106.9,.
74,1978/4/13,106.9,.
75,1978/4/14,106.9,.
76,1978/4/17,106.9,.
77,1978/4/18,106.9,.
78,1978/4/19,106.9,.
79,1978/4/20,106.9,.
80,1978/4/21,106.9,.
81,1978/4/24,106.9,.
82,1978/4/25,106.9,.
83,1978/4/26,106.9,.
84,1978/4/27,106.9,.
85,1978/4/28,112.04,112.04
86,1978/5/1,112.04,112.04
87,1978/5/2,112.04,.
88,1978/5/3,112.04,.
89,1978/5/4,112.04,.
90,1978/5/5,112.04,.
91,1978/5/8,112.04,.
92,1978/5/9,112.04,.
93,1978/5/10,112.04,.
94,1978/5/11,112.04,.
95,1978/5/12,112.04,.
96,1978/5/15,112.04,.
97,1978/5/16,112.04,.
98,1978/5/17,112.04,.
99,1978/5/18,112.04,.
100,1978/5/19,112.04,.
101,1978/5/22,112.04,.
102,1978/5/23,112.04,.
103,1978/5/24,112.04,.
104,1978/5/25,112.04,.
105,1978/5/26,112.04,.
106,1978/5/29,112.04,.
107,1978/5/30,112.04,.
108,1978/5/31,110.16,110.16
109,1978/6/1,110.16,110.16
110,1978/6/2,110.16,.
111,1978/6/5,110.16,.
112,1978/6/6,110.16,.
113,1978/6/7,110.16,.
114,1978/6/8,110.16,.
115,1978/6/9,110.16,.
116,1978/6/12,110.16,.
117,1978/6/13,110.16,.
118,1978/6/14,110.16,.
119,1978/6/15,110.16,.
120,1978/6/16,110.16,.
121,1978/6/19,110.16,.
122,1978/6/20,110.16,.
123,1978/6/21,110.16,.
124,1978/6/22,110.16,.
125,1978/6/23,110.16,.
126,1978/6/26,110.16,.
127,1978/6/27,110.16,.
128,1978/6/28,110.16,.
129,1978/6/29,110.16,.
130,1978/6/30,107.95,107.95
131,1978/7/3,107.95,107.95
132,1978/7/4,107.95,.
133,1978/7/5,107.95,.
134,1978/7/6,107.95,.
135,1978/7/7,107.95,.
136,1978/7/10,107.95,.
137,1978/7/11,107.95,.
138,1978/7/12,107.95,.
139,1978/7/13,107.95,.
140,1978/7/14,107.95,.
141,1978/7/17,107.95,.
142,1978/7/18,107.95,.
143,1978/7/19,107.95,.
144,1978/7/20,107.95,.
145,1978/7/21,107.95,.
146,1978/7/24,107.95,.
147,1978/7/25,107.95,.
148,1978/7/26,107.95,.
149,1978/7/27,107.95,.
150,1978/7/28,107.95,.
151,1978/7/31,112.16,112.16
152,1978/8/1,112.16,112.16
